gene_ID	PC_ID	genome	KO_ID	KO_annotation	COG_ID	COG_annotation	rRNA
0	PC_00001351	genome_2	K02338	DPO3B; DNA polymerase III subunit beta [EC:2.7.7.7]	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	FALSE
1	PC_00001459	genome_2	NA	NA	NA	NA	FALSE
2	PC_00000891	genome_2	K01952	purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	FALSE
3	PC_00001838	genome_2	K00764	purF; amidophosphoribosyltransferase [EC:2.4.2.14]	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	FALSE
4	PC_00000967	genome_2	K02469	gyrA; DNA gyrase subunit A [EC:5.99.1.3]	COG0188	DNA gyrase/topoisomerase IV, subunit A	FALSE
5	PC_00001291	genome_2	NA	NA	COG0457	Tetratricopeptide (TPR) repeat	FALSE
6	PC_00001130	genome_2	K18979	queG; epoxyqueuosine reductase [EC:1.17.99.6]	COG1600	Epoxyqueuosine reductase  QueG (queuosine biosynthesis)	FALSE
7	PC_00002029	genome_2	NA	NA	NA	NA	FALSE
8	PC_00000224	genome_2	NA	NA	COG2928	Uncharacterized membrane protein	FALSE
9	PC_00000474	genome_2	K03625	nusB; N utilization substance protein B	COG0781	Transcription termination factor NusB	FALSE
10	PC_00000955	genome_2	K03110	ftsY; fused signal recognition particle receptor	COG0552	Signal recognition particle GTPase	FALSE
11	PC_00000896	genome_2	K07315	rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	COG2208	Serine phosphatase RsbU, regulator of sigma subunit	FALSE
12	PC_00000950	genome_2	K01755	argH; argininosuccinate lyase [EC:4.3.2.1]	COG0165	Argininosuccinate lyase	FALSE
13	PC_00000008	genome_2	NA	NA	COG0724	 RNA recognition motif (RRM) domain	FALSE
14	PC_00001123	genome_2	K05539	dusA; tRNA-dihydrouridine synthase A [EC:1.-.-.-]	COG0042	tRNA-dihydrouridine synthase	FALSE
15	PC_00001433	genome_2	K07305	msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]	COG0229	Peptide methionine sulfoxide reductase MsrB	FALSE
16	PC_00000957	genome_2	K07007	uncharacterized protein	COG2081	Predicted flavoprotein YhiN	FALSE
17	PC_00013765	genome_2	NA	NA	NA	NA	FALSE
18	PC_00001549	genome_2	K02653	pilC; type IV pilus assembly protein PilC	COG1459	Type II secretory pathway, component PulF	FALSE
19	PC_00001650	genome_2	K02669	pilT; twitching motility protein PilT	COG2805	Tfp pilus assembly protein PilT, pilus retraction ATPase	FALSE
20	PC_00000073	genome_2	K02652	pilB; type IV pilus assembly protein PilB	COG2804	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB	FALSE
21	PC_00000962	genome_2	K03687	GRPE; molecular chaperone GrpE	COG0576	Molecular chaperone GrpE (heat shock protein)	FALSE
22	PC_00000469	genome_2	K03686	dnaJ; molecular chaperone DnaJ	COG0484	DnaJ-class molecular chaperone with C-terminal Zn finger domain	FALSE
23	PC_00001175	genome_2	NA	NA	COG0425	TusA-related sulfurtransferase	FALSE
24	PC_00000132	genome_2	K06949	rsgA; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	COG1162	Putative ribosome biogenesis GTPase RsgA	FALSE
25	PC_00000285	genome_2	K09747	uncharacterized protein	COG0718	Conserved DNA-binding protein YbaB (function unknown)	FALSE
26	PC_00000616	genome_2	K00075	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase	FALSE
27	PC_00000688	genome_2	K01924	murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	COG0773	UDP-N-acetylmuramate-alanine ligase	FALSE
28	PC_00000351	genome_2	K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	FALSE
29	PC_00001316	genome_2	K00946	thiL; thiamine-monophosphate kinase [EC:2.7.4.16]	COG0611	Thiamine monophosphate kinase	FALSE
30	PC_00000720	genome_2	NA	NA	COG0652	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	FALSE
31	PC_00000218	genome_2	K02356	efp; elongation factor P	COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	FALSE
32	PC_00000497	genome_2	K02160	accB; acetyl-CoA carboxylase biotin carboxyl carrier protein	COG0511	Biotin carboxyl carrier protein	FALSE
33	PC_00001024	genome_2	K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	COG1995	4-hydroxy-L-threonine phosphate dehydrogenase PdxA	FALSE
34	PC_00000919	genome_2	NA	NA	COG0451	Nucleoside-diphosphate-sugar epimerase	FALSE
35	PC_00000436	genome_2	NA	NA	COG1403	5-methylcytosine-specific restriction endonuclease McrA	FALSE
36	PC_00000963	genome_2	NA	NA	COG0553	Superfamily II DNA or RNA helicase, SNF2 family	FALSE
37	PC_00002055	genome_2	NA	NA	NA	NA	FALSE
38	PC_00001333	genome_2	NA	NA	NA	NA	FALSE
39	PC_00001185	genome_2	K07120	uncharacterized protein	COG3180	Uncharacterized membrane protein AbrB, regulator of aidB expression	FALSE
40	PC_00002037	genome_2	NA	NA	NA	NA	FALSE
41	PC_00001490	genome_2	NA	NA	NA	NA	FALSE
42	PC_00002745	genome_2	NA	NA	NA	NA	FALSE
43	PC_00000732	genome_2	NA	NA	COG0075	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	FALSE
44	PC_00001295	genome_2	K02188	cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]	COG1903	Cobalamin biosynthesis protein CbiD	FALSE
45	PC_00000419	genome_2	K01951	guaA; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	COG0518!!!COG0519	GMP synthase - Glutamine amidotransferase domain!!!GMP synthase, PP-ATPase domain/subunit	FALSE
46	PC_00005536	genome_2	NA	NA	NA	NA	FALSE
47	PC_00009665	genome_2	NA	NA	NA	NA	FALSE
48	PC_00004905	genome_2	NA	NA	NA	NA	FALSE
49	PC_00000312	genome_2	NA	NA	NA	NA	FALSE
50	PC_00002101	genome_2	NA	NA	NA	NA	FALSE
